tau1,tau2,train_auc,test_auc
3,1,0.5155555555555555,0.5604370839497042
3,2,0.5377777777777778,0.5552711261094674
3,4,0.6666666666666667,0.5455921782544378
3,5,0.6666666666666667,0.5397096893491123
3,6,0.6488888888888888,0.5192538831360947
3,7,0.6355555555555555,0.5047036797337278
3,8,0.6222222222222222,0.502623428254438
3,9,0.6044444444444445,0.5010690181213018
3,10,0.6177777777777778,0.5017566568047338
3,11,0.6088888888888889,0.5100256564349113
3,12,0.6133333333333333,0.5198548446745562
3,13,0.6311111111111112,0.5235646264792899
3,14,0.6133333333333333,0.5201495469674556
3,15,0.6222222222222222,0.5101065551035502
3,16,0.6222222222222222,0.49609375
3,17,0.6,0.4831615199704142
3,18,0.6044444444444445,0.4882754715236686
3,19,0.6088888888888888,0.4879692122781065
3,20,0.6,0.4888359837278107
3,21,0.6088888888888888,0.49124560835798814
3,22,0.5777777777777777,0.49475892196745563
3,23,0.5688888888888889,0.49876918454142016
3,24,0.5555555555555556,0.5023171690088757
3,25,0.5733333333333334,0.5056629068047337
3,26,0.5777777777777778,0.5079916327662721
3,27,0.5644444444444444,0.5098754160502958
3,28,0.56,0.5098638590976331
3,29,0.5511111111111111,0.5097251756656804
3,30,0.5377777777777777,0.5089104105029586
3,31,0.5333333333333333,0.5093784670857988
3,32,0.5111111111111111,0.508725499260355
3,33,0.5733333333333334,0.4888359837278106
3,34,0.5644444444444444,0.48443856323964496
3,35,0.6088888888888888,0.4966427052514793
3,36,0.6311111111111112,0.508725499260355
3,37,0.6266666666666667,0.5172371948964497
3,38,0.6444444444444445,0.5224609375
3,39,0.6488888888888888,0.525887573964497
3,40,0.6488888888888888,0.5153938609467456
3,41,0.6533333333333333,0.5054317677514794
3,42,0.6444444444444444,0.5029585798816568
3,43,0.6622222222222223,0.5029585798816568
3,44,0.6622222222222222,0.5067665957840237
3,45,0.6577777777777778,0.514313285872781
3,46,0.648888888888889,0.5223742603550295
3,47,0.6666666666666666,0.5224840514053255
3,48,0.6799999999999999,0.5193983450443788
3,49,0.6977777777777777,0.5157174556213018
3,50,0.6533333333333333,0.514024362056213
4,1,0.6177777777777778,0.5552306767751479
4,2,0.6311111111111111,0.5519253883136095
4,3,0.6266666666666667,0.5442226793639052
4,5,0.6044444444444445,0.5383921967455622
4,6,0.6088888888888888,0.5255408653846154
4,7,0.5911111111111111,0.504449426775148
4,8,0.5733333333333333,0.4999595506656805
4,9,0.5955555555555556,0.501762435281065
4,10,0.6000000000000001,0.5034497503698224
4,11,0.6044444444444445,0.5092455621301776
4,12,0.6177777777777778,0.5179017196745562
4,13,0.6177777777777778,0.5213514700443788
4,14,0.6177777777777778,0.5191903198964497
4,15,0.6133333333333333,0.5112102440828403
4,16,0.6000000000000001,0.4957123705621302
4,17,0.5644444444444445,0.4915345321745562
4,18,0.5644444444444445,0.4859409670857988
4,19,0.5866666666666667,0.48697531434911245
4,20,0.5955555555555556,0.48866262943786987
4,21,0.6088888888888888,0.49103758321005914
4,22,0.5777777777777777,0.49488026997041423
4,23,0.5644444444444445,0.49720321745562135
4,24,0.5555555555555556,0.5021958210059172
4,25,0.5333333333333333,0.5079685188609467
4,26,0.5288888888888889,0.5113893768491123
4,27,0.5377777777777777,0.5105746116863905
4,28,0.5333333333333333,0.5090317585059172
4,29,0.5555555555555556,0.507893398668639
4,30,0.5377777777777778,0.509990985576923
4,31,0.5733333333333334,0.507668038091716
4,32,0.5777777777777777,0.49942215236686394
4,33,0.6133333333333333,0.4919216900887574
4,34,0.6355555555555555,0.5023229474852071
4,35,0.6311111111111111,0.5039640347633136
4,36,0.6488888888888888,0.503842686760355
4,37,0.6488888888888888,0.5061598557692308
4,38,0.64,0.5073386649408285
4,39,0.6622222222222223,0.5072404308431953
4,40,0.6711111111111111,0.5041489460059172
4,41,0.6488888888888888,0.5023749537721893
4,42,0.6622222222222223,0.5000462278106509
4,43,0.6711111111111111,0.5023749537721893
4,44,0.6888888888888889,0.5057091346153846
4,45,0.6977777777777779,0.514087925295858
4,46,0.6711111111111111,0.5232757026627218
4,47,0.6355555555555557,0.52564487795858
4,48,0.6755555555555556,0.5218888683431953
4,49,0.6799999999999999,0.5186413646449703
4,50,0.6933333333333334,0.5126664201183432
5,1,0.6577777777777778,0.5259049093934911
5,2,0.6577777777777778,0.5237379807692307
5,3,0.6488888888888888,0.5268352440828403
5,4,0.6399999999999999,0.5286207932692308
5,6,0.5911111111111111,0.5080494175295858
5,7,0.5866666666666667,0.4939903846153847
5,8,0.5777777777777778,0.4858138406065089
5,9,0.5822222222222222,0.4894831730769231
5,10,0.5911111111111111,0.49719743897928986
5,11,0.6088888888888888,0.5048770340236687
5,12,0.6044444444444443,0.5129148946005917
5,13,0.6133333333333333,0.5189765162721894
5,14,0.6088888888888889,0.516520663831361
5,15,0.6,0.5069977348372781
5,16,0.5955555555555555,0.49879229844674555
5,17,0.5733333333333334,0.4684957470414201
5,18,0.5022222222222221,0.47479428624260356
5,19,0.5288888888888889,0.4864205806213018
5,20,0.5288888888888889,0.49511718749999994
5,21,0.5333333333333333,0.5021438147189349
5,22,0.5511111111111111,0.5139376849112426
5,23,0.5688888888888889,0.5186413646449705
5,24,0.5644444444444444,0.5110542252218935
5,25,0.591111111111111,0.5004622781065089
5,26,0.6,0.4986478365384615
5,27,0.6,0.5030105861686391
5,28,0.5644444444444444,0.5130420210798816
5,29,0.5733333333333334,0.5150529308431953
5,30,0.5955555555555555,0.5191672059911243
5,31,0.6222222222222222,0.5179421690088757
5,32,0.6577777777777778,0.5343934911242603
5,33,0.6533333333333333,0.5358265532544378
5,34,0.6622222222222223,0.5274824334319527
5,35,0.6666666666666666,0.5071364182692308
5,36,0.6488888888888888,0.5019993528106508
5,37,0.6533333333333333,0.5048250277366864
